,Name,Dates,Age,Location,Team,Opponent,Game Result,Started,Minutes Played,FG,FGA,FG3,FG3A,FG3Pct,FreeThrows,Free Throw Attempts,Free Throw Percent,Offensive Rebounds,Defensive Rebounds,Total Rebounds,Assists,Steals,Blocks,Turnovers,Personal Fouls,Points,Game Score,Plus Minus
510,Jonas Valanciunas,2018-11-21,26-199,away,TOR,ATL,W (+16),1,26:43,9,12,1,2,.500,5,8,.625,3,10,13,2,0,1,2,2,24,22.4,+21
511,Jonas Valanciunas,2018-11-23,26-201,home,TOR,WAS,W (+18),1,18:14,3,7,0,0,0.0,2,2,1.000,4,3,7,3,0,0,3,2,8,6.3,-4
512,Jonas Valanciunas,2018-11-25,26-203,home,TOR,MIA,W (+10),1,24:14,8,10,0,0,0.0,1,1,1.000,2,8,10,2,0,0,1,2,17,16.6,+24
513,Jonas Valanciunas,2018-11-27,26-205,away,TOR,MEM,W (+8),0,14:27,3,3,1,1,1.000,2,2,1.000,1,2,3,2,0,1,3,2,9,7.7,-5
514,Jonas Valanciunas,2018-11-29,26-207,home,TOR,GSW,W (+3),0,15:46,4,5,0,0,0.0,4,4,1.000,0,4,4,0,0,1,1,2,12,10.2,-13
515,Jonas Valanciunas,2018-12-01,26-209,away,TOR,CLE,W (+11),0,18:17,2,5,0,1,.000,1,2,.500,1,3,4,0,0,1,2,4,5,0.6,-9
516,Jonas Valanciunas,2018-12-03,26-211,home,TOR,DEN,L (-3),0,18:20,3,6,0,0,0.0,2,2,1.000,1,9,10,0,0,1,1,5,8,6.1,0
517,Jonas Valanciunas,2018-12-05,26-213,home,TOR,PHI,W (+11),0,18:00,9,13,0,1,.000,8,9,.889,1,7,8,2,0,0,0,3,26,23.1,+14
518,Jonas Valanciunas,2018-12-07,26-215,away,TOR,BRK,L (-1),1,26:19,10,15,0,2,.000,4,6,.667,2,6,8,0,0,1,0,3,24,19.4,+5
519,Jonas Valanciunas,2018-12-09,26-217,home,TOR,MIL,L (-5),0,13:00,2,8,0,0,0.0,2,2,1.000,3,2,5,0,0,0,2,3,6,0.7,-9
520,Jonas Valanciunas,2018-12-11,26-219,away,TOR,LAC,W (+24),0,18:25,7,12,1,2,.500,1,2,.500,2,3,5,0,2,0,0,1,16,13.9,+6
521,Jonas Valanciunas,2018-12-12,26-220,away,TOR,GSW,W (+20),0,7:51,3,4,0,0,0.0,0,0,0.0,1,6,7,0,0,0,0,0,6,6.9,+2
522,Jonas Valanciunas,2018-12-14,26-222,away,TOR,POR,L (-6),dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp
523,Jonas Valanciunas,2018-12-16,26-224,away,TOR,DEN,L (-9),dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp
524,Jonas Valanciunas,2018-12-19,26-227,home,TOR,IND,W (+3),dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp
525,Jonas Valanciunas,2018-12-21,26-229,home,TOR,CLE,W (+16),dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp
526,Jonas Valanciunas,2018-12-22,26-230,away,TOR,PHI,L (-25),dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp
527,Jonas Valanciunas,2018-12-26,26-234,away,TOR,MIA,W (+2),dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp
528,Jonas Valanciunas,2018-12-28,26-236,away,TOR,ORL,L (-29),dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp
529,Jonas Valanciunas,2018-12-30,26-238,home,TOR,CHI,W (+6),dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp
530,Jonas Valanciunas,2019-01-01,26-240,home,TOR,UTA,W (+6),dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp
531,Jonas Valanciunas,2019-01-03,26-242,away,TOR,SAS,L (-18),dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp
532,Jonas Valanciunas,2019-01-05,26-244,away,TOR,MIL,W (+7),dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp
533,Jonas Valanciunas,2019-01-06,26-245,home,TOR,IND,W (+16),dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp
